Tiêu đề,Hãng,Dòng xe,Năm sản xuất,Số Km đã đi,Tình trạng,Hộp số,Nhiên liệu,Xuất xứ,Giá,Kiểu Dáng,Số Chỗ,Dung tich
satafe 7 chỗ sx năm 2010 đăng ký năm 2011,Hyundai,santafe,2010,175000.0,Đã sử dụng,Tự động,Dầu,Hàn Quốc,415.000.000 đ,SUV,7 ,2.2
Cruze sanr xuất cuối 2011 chính chủ bs60,Chevrolet,cruze,2011,99999.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,195.000.000 đ,Sedan,5 ,1.8
XPANDER 2019 SỐ TỰ ĐỘNG CỰC MỚI,Mitsubishi,xpander,2019,30500.0,Đã sử dụng,Tự động,Xăng,Nước khác,489.000.000 đ,SUV,7 ,1.5
Cerato 2018 2.0 AT,Kia,cerato,2018,49000.0,Đã sử dụng,Tự động,Xăng,,450.000.000 đ,Sedan,5 ,1.6
Siêu phẩm Rubincon,Jeep,cj,trước năm 1980,123456.0,Đã sử dụng,Số sàn,Dầu,Đang cập nhật,280.000.000 đ,SUV,4 ,2.4
"bán laceti xe gia đình không dịch vụ , xe zin",Daewoo,lacetti,2008,22000.0,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,90.000.000 đ,Sedan,5 ,1.6
innova E 2015,Toyota,innova,2015,140000.0,Đã sử dụng,Số sàn,Xăng,,365.000.000 đ,Crossover,8 ,2.0
Sonet 2022 Deluxe,Kia,sonet,2022,10000.0,Đã sử dụng,Tự động,Xăng,,505.000.000 đ,Crossover,5 ,1.5
Can ban huynhdai Crenta 2022,Hyundai,creta,2022,20000.0,Đã sử dụng,Tự động,Xăng,Nước khác,645.000.000 đ,Crossover,5 ,1.5
Honda HRV - L Pretige nhập khẩu ThaiLand -Rất mới,Honda,hrv,2019,25689.0,Đã sử dụng,Tự động,Xăng,,595.000.000 đ,Crossover,5 ,1.8
Bán xe Pajero / 1999 / 3.0 cực đẹp,Mitsubishi,pajero,1999,250000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,100.000.000 đ,,,0
bán Toyota Vios G 2019 giá cực tốt,Toyota,vios,2019,35000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,432.000.000 đ,Sedan,5 ,1.5
xpander bản CRoss 2021,Mitsubishi,xpandercross,2021,36000.0,Đã sử dụng,Tự động,Xăng,,565.000.000 đ,SUV,7 ,1.5
Mercedes Benz C Class C 300 AMG 2020,Mercedes Benz,cclass,2020,30000.0,Đã sử dụng,Tự động,Xăng,,1.290.000.000 đ,Sedan,5 ,3.0
Cx-5 2022 Deluxe,Mazda,cx5,2022,10000.0,Đã sử dụng,Tự động,Xăng,,705.000.000 đ,SUV,5 ,2.0
Bán xe Huyndai i10 đăng ký 2015 gia đình sử dụng,Hyundai,grandi10,2014,150000.0,Đã sử dụng,Số sàn,Xăng,Nước khác,180.000.000 đ,Sedan,5 ,1.2
Toyota Venza 2.7AT 2011 Nhập Mỹ đời chót full kịch,Toyota,venza,2011,65689.0,Đã sử dụng,Tự động,Xăng,Mỹ,625.000.000 đ,Crossover,5 ,2.7
Bán Moning S 2019,Kia,morning,2019,50000.0,Đã sử dụng,Tự động,Xăng,,315.000.000 đ,Hatchback,5 ,1.2
Kia Morning 2017 số sàn,Kia,morning,2017,24000.0,Đã sử dụng,Số sàn,Xăng,,240.000.000 đ,Hatchback,5 ,1.2
xế nhỏ cho gia đình,Isuzu,hilander,2003,,Đã sử dụng,Số sàn,Dầu,Đang cập nhật,115.000.000 đ,SUV,8 ,2.5
KIA Seltos 2021 Premium cap cấp màu Đỏ,Kia,seltos,2021,48000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,608.000.000 đ,Crossover,5 ,1.4
Ford Everest 2023 Titanium 1 cầu màu Đỏ Cam,Ford,everest,2023,20000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,1.260.000.000 đ,SUV,7 ,2.5
Mazda 3 2022 Deluxe,Mazda,3,2022,20000.0,Đã sử dụng,Tự động,Xăng,,550.000.000 đ,Hatchback,5 ,1.5
Xe MG ZS mới 2023 miễn thuế (Trả trước từ 80TR),MG,zs,2023,,Mới,Tự động,Xăng,Thái Lan,80.000.000 đ,Crossover,5 ,1.5
morning s 2019 không chạy dịch vụ,Kia,morning,2019,50000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,318.000.000 đ,Hatchback,5 ,1.2
genesis 2012_Chính chủ BS sài gòn_đăng kiểm 2024,Hyundai,genesis,2012,78000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,399.999.999 đ,Coupe,4 ,2.0
-Xpander AT Eco 2022 -ODO. 18.000km -Giá 525 triệu,Mitsubishi,xpander,2022,18000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,525.000.000 đ,SUV,7 ,1.5
huyndai starex số sàn máy cơ 2004 6 chỗ 800kg đẹp,Hyundai,starex,2004,50000.0,Đã sử dụng,Số sàn,Dầu,Hàn Quốc,95.000.000 đ,,,0
Hãng Ford bán Raptor 2020 biển A bảo hành 1 năm,Ford,ranger,2020,69000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,955.000.000 đ,Bán tải / Pickup,5 ,2.0
Toyota Venza 2.7AT nhập Mỹ full kịch đồ - HIẾM CÓ,Toyota,venza,2009,68689.0,Đã sử dụng,Tự động,Xăng,,515.000.000 đ,Crossover,5 ,2.7
mercedes G63 AMG xám xi măng sx 22 đk 12/22,Mercedes Benz,gclass,2022,6000.0,Đã sử dụng,Tự động,Xăng,Đức,12.300.000.000 đ,,,0
Tài chính dưới 200 cần tìm I10 xe gia đình,Hyundai,grandi10,2018,10000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,100.000.000 đ,Sedan,5 ,1.2
hyundai elantra 1.6 tubor - sport 2018,Hyundai,elantra,2018,62000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,480.000.000 đ,Sedan,5 ,1.6
cần bán rio,Kia,rio,2015,9.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,340.000.000 đ,Sedan,5 ,1.4
Chính chủ Bán xe vinfast cũ,Vinfast,vf8,2023,10000.0,Đã sử dụng,Tự động,Điện,Việt Nam,730.000.000 đ,,,0
Mazda Cx5 2022 2.0 premium,Mazda,cx5,2022,17500.0,Đã sử dụng,Tự động,Xăng,Việt Nam,785.000.000 đ,SUV,5 ,2.0
Hãng bán Toyota Camry 2.0G 2020 BảoHành ToyotaSure,Toyota,camry,2020,40000.0,Đã sử dụng,Tự động,Xăng,Nước khác,815.000.000 đ,Sedan,5 ,2.5
Bán XL 7 sản xuất 2022,Suzuki,xl7,2022,28000.0,Đã sử dụng,Tự động,Xăng,,518.000.000 đ,SUV,7 ,1.5
Kia morning nhập Hàn 2005 đăng ký 2007,Kia,morning,2005,16800.0,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,78.000.000 đ,Hatchback,5 ,1.2
"Mazda CX5 2.5 2018 Xe Gia Đình, Trả Trước Từ 250tr",Mazda,cx5,2018,60000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,650.000.000 đ,SUV,5 ,2.0
xe ban aveo 2015 xe rin một đoi chủ ko loi nhỏ,Chevrolet,aveo,2015,190.0,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,168.000.000 đ,Sedan,5 ,1.5
Suzuki Swift 2016 đăng ký 2017 1 chủ từ mới,Suzuki,swift,2016,60000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,340.000.000 đ,Hatchback,5 ,1.2
Tậu Elantra ĐB tiết kiệm nhất chỉ từ 146tr tt,Hyundai,elantra,2023,,Mới,Tự động,Xăng,Việt Nam,146.000.000 đ,Sedan,5 ,1.6
Soluto 2021 mới kính kong - biển Thủ đô trắng tinh,Kia,soluto,2021,30000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,386.000.000 đ,Sedan,5 ,1.4
I10 nhập khẩu số sàn,Hyundai,grandi10,2016,123456.0,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,182.000.000 đ,Sedan,5 ,1.2
Suzuki Ertiga 1.5AT Hybrid Sport xăng điện mới,Suzuki,ertiga,2022,21368.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,535.000.000 đ,SUV,7 ,1.5
bán xe inova sx2014 xe da đình su dung đi cop đi i,Toyota,innova,2014,92.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,375.000.000 đ,Crossover,8 ,2.0
toyota vios G - 2012,Toyota,vios,2012,82000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,305.000.000 đ,Sedan,5 ,1.5
Mitsubishi Outlander Premium 2022 Trắng cực đẹp,Mitsubishi,outlander,2022,20000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,786.000.000 đ,SUV,7 ,2.0
✅ Accent 2023 Giảm 50% Trước bạ - Tặng Bảo Hiểm,Hyundai,accent,2023,,Mới,Tự động,Xăng,Việt Nam,465.000.000 đ,Sedan,5 ,1.4
Bán xe Accent 2019 đặc biệt,Hyundai,accent,2019,60000.0,Đã sử dụng,Tự động,Xăng,,396.000.000 đ,Sedan,5 ,1.4
ford everest 4x4 năm sx 2019  máy dầu,Ford,everest,2019,60000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,910.000.000 đ,SUV,7 ,2.5
"Mercedes Benz ML350 2008 Nhập Mỹ, BH 3 Tháng",Mercedes Benz,mlclass,2008,100000.0,Đã sử dụng,Tự động,Xăng,Mỹ,395.000.000 đ,SUV,5 ,3.5
Hyundai Avante 1.6 AT 2012 Xe Gia Đình Gốc SG,Hyundai,avante,2012,90000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,295.000.000 đ,Sedan,5 ,1.6
VELOZ CROSS TOP 2022 NHẬP INDO XE ĐẸP GIÁ MỀM,Toyota,velozcross,2022,49000.0,Đã sử dụng,Tự động,Xăng,,635.000.000 đ,SUV,7 ,1.5
Mazda CX9 Tự động 2015 Full Option BSTP Đẹp nguyên,Mazda,cx9,2015,60000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,499.000.000 đ,SUV,7 ,3.7
ford transit,Ford,transit,2015,190000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,398.000.000 đ,Van/Minivan,16 ,2.2
Spark van 1.2MT SX 2016,Chevrolet,spark,2016,119000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,128.000.000 đ,Hatchback,5 ,0.8
Mecedes Benz GLK250 4Matic đẹp xuất sắc xanh ngọc,Mercedes Benz,glkclass,2013,102368.0,Đã sử dụng,Tự động,Xăng,,575.000.000 đ,SUV,5 ,3.0
Cần Bán KIA Cerato 2.0 Pre - Hỗ Trợ Bank Cao !,Kia,cerato,2019,51000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,485.000.000 đ,Sedan,5 ,1.6
Mazda CX8 Premium AWD 2019 màu Đen cực đẹp,Mazda,cx8,2019,40000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,798.000.000 đ,SUV,7 ,2.5
✅ Stargazer Tiêu chuẩn - Ưu đãi ngay 125 triệu,Hyundai,stargazer,2022,,Mới,Tự động,Xăng,Nước khác,450.000.000 đ,Van/Minivan,7 ,1.5
Bán rẻ Hyundai Grand Starex 7chỗ máy dầu tuyệtđẹp,Hyundai,grandstarex,2008,123456.0,Đã sử dụng,Số sàn,Dầu,Hàn Quốc,288.000.000 đ,Van/Minivan,6 ,2.5
mazda 3 động cơ 1.5 lit Luxxury,Mazda,3,2022,11000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,625.000.000 đ,Hatchback,5 ,1.5
Bán VIOS 2016 Số sàn,Toyota,vios,2016,888.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,285.000.000 đ,Sedan,5 ,1.5
Ford Wildtrak 2.0L Bi-Turbo- 2021 (xe gia đình),Ford,ranger,2021,24000.0,Đã sử dụng,Bán tự động,Dầu,Việt Nam,760.000.000 đ,Bán tải / Pickup,5 ,2.0
Honda City 1.5 CVT 2014,Honda,city,2014,110000.0,Đã sử dụng,Tự động,Xăng,Nước khác,345.000.000 đ,Sedan,5 ,1.5
toyota innova G,Toyota,innova,2009,171000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,259.000.000 đ,Crossover,8 ,2.0
corolla atis 2005 mt bản đủ,Toyota,corollaaltis,2006,120000.0,Đã sử dụng,Số sàn,Xăng,Nhật Bản,155.000.000 đ,Sedan,5 ,1.8
xe nhà ít dùng,Ford,focus,2019,34000.0,Đã sử dụng,Tự động,Xăng,Mỹ,550.000.000 đ,Sedan,5 ,2.0
cần bán gấp kia cerato 2021 1.6 AT đép như mới,Kia,cerato,2021,14000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,525.000.000 đ,Sedan,5 ,1.6
Magnus AT chính chủ,Daewoo,magnus,2005,99000.0,Đã sử dụng,Tự động,Xăng,,99.000.000 đ,Sedan,5 ,2.0
Mazda 323 xe cực đẹp máy móc OK xe như mới,Mazda,323,1995,108666.0,Đã sử dụng,Số sàn,Xăng,Nhật Bản,70.000.000 đ,Sedan,5 ,1.6
Bán xe i10 chính chủ,Hyundai,grandi10,2022,37000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,385.000.000 đ,Sedan,5 ,1.2
Hãng Ford bán Tourneo Limousine 2020đk 2022 còn BH,Ford,tourneo,2020,27000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,890.000.000 đ,Van/Minivan,7 ,2.0
Hyundai Grand i10 1.2AT màu đỏ số tự động 2022 99%,Hyundai,grandi10,2022,28000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,388.000.000 đ,Sedan,5 ,1.2
TOYOTA YARIS 2019 NHẬP THÁI SIÊU LƯỚT - GIÁ RẺ,Toyota,yaris,2019,23000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,460.000.000 đ,Hatchback,5 ,1.3
"Toyota Fortuner 2019 2.4MT máy Dầu, mội chủ",Toyota,fortuner,2019,76000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,769.000.000 đ,SUV,7 ,2.4
fold ranger sản xuất 2002 lăn bánh 29van,Ford,ranger,2002,290000.0,Đã sử dụng,Số sàn,Dầu,,70.000.000 đ,Bán tải / Pickup,5 ,2.0
"Cần bán xe 7 chỗ nhà ít sử dụng, ino2015 chính chủ",Toyota,innova,2015,6000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,340.000.000 đ,Crossover,8 ,2.0
captiva 2016 xe 7 chỗ ngồi,Chevrolet,captiva,2016,90000.0,Đã sử dụng,Tự động,Xăng,,410.000.000 đ,SUV,7 ,2.4
"Ford forcus 2008, Odo 14V km, một chủ, nguyên bản",Ford,focus,2008,140000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,130.000.000 đ,Sedan,5 ,2.0
Mazda 3 Hatchback màu xám 2019 ghế điện đi 15000km,Mazda,3,2019,15000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,485.000.000 đ,Hatchback,5 ,1.5
bán accent sx 2019 at bản đặc biệt xe gia đinh,Hyundai,accent,2019,52000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,405.000.000 đ,Sedan,5 ,1.4
"Corolla Altis 2.0V, sx 2012",Toyota,corollaaltis,2012,100.0,Đã sử dụng,Tự động,Xăng,,345.000.000 đ,Sedan,5 ,1.8
Innova tự động đời 2012,Toyota,innova,2012,120000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,340.000.000 đ,Crossover,8 ,2.0
bán xe forganger wildtrak 2017 at 2 cầu,Ford,ranger,2017,118000.0,Đã sử dụng,Tự động,Dầu,,550.000.000 đ,Bán tải / Pickup,5 ,2.0
TOYOTA RUSH 2021 - 7 CHỖ NHẬP KHẨU,Toyota,rush,2021,61000.0,Đã sử dụng,Tự động,Xăng,Nước khác,545.000.000 đ,SUV,7 ,1.5
chevrolet Captiva 2007 LT 2.4 L,Chevrolet,captiva,2007,,Đã sử dụng,Số sàn,Xăng,Việt Nam,159.000.000 đ,SUV,7 ,2.4
Captiva 2.4LTZ màu đen số tự động 2018 rất đẹp 90%,Chevrolet,captiva,2018,54000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,495.000.000 đ,SUV,7 ,2.4
cần bán xe vinfat fadin 2020,Vinfast,fadil,2020,34568.0,Đã sử dụng,Tự động,Xăng,Việt Nam,280.000.000 đ,,,0
Mitsubishi Xpander Eco giá hạt rẻ số lượng có hạn,Mitsubishi,xpander,2023,,Mới,Tự động,Xăng,Nước khác,538.000.000 đ,SUV,7 ,1.5
bán vios g sx 2019 xe gia đinh 1 chủ biển ha nội,Toyota,vios,2019,35000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,428.000.000 đ,Sedan,5 ,1.5
Kia morning .2017.Si.số sàn .xe gia đình,Kia,morning,2017,80000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,245.000.000 đ,Hatchback,5 ,1.2
mercedes c300 amg -2019 đỏ biển hà nôi 4 vạn8,Mercedes Benz,cclass,2019,49500.0,Đã sử dụng,Tự động,Xăng,Việt Nam,1.020.000.000 đ,Sedan,5 ,3.0
honda city cvt AT 2020,Honda,city,2020,68.0,Đã sử dụng,Tự động,Xăng,,435.000.000 đ,Sedan,5 ,1.5
xe đẹp zin,Mercedes Benz,aclass,2003,145000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,150.000.000 đ,,,0
ford cus bản S sport thể thao,Ford,focus,2013,87000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,330.000.000 đ,Sedan,5 ,2.0
Lên đời bán xe ô tô giá xe máy,Daewoo,matiz,2003,125000.0,Đã sử dụng,Số sàn,Xăng,,52.000.000 đ,Hatchback,5 ,0.8
"Honda HR-V 1.8L 2021 nhập Thái Lan, Odo 53.000km",Honda,hrv,2020,53000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,635.000.000 đ,Crossover,5 ,1.8
"Kia Seltos 1.4turbo 2021,Odo60.000km có bảo hànhxe",Kia,seltos,2021,60000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,545.000.000 đ,Crossover,5 ,1.4
Hyundai i10 1.2AT 2022,Hyundai,grandi10,2022,28000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,388.000.000 đ,Sedan,5 ,1.2
Innova 2.0V 2016 Form 2017 Còn Thương Lượng,Toyota,innova,2016,50000.0,Đã sử dụng,Tự động,Xăng,,570.000.000 đ,Crossover,8 ,2.0
TRANSIT LUXURY 2016 KO CHẠY DỊCH VỤ CỰC ĐẸP,Ford,transit,2016,152000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,475.000.000 đ,Van/Minivan,16 ,2.2
toyota innova 2.0 E xe gia đình,Toyota,innova,2012,141000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,288.000.000 đ,Crossover,8 ,2.0
Mercedes Benz C Class C250 2009 Biển SG Chính Chủ,Mercedes Benz,cclass,2009,90000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,360.000.000 đ,Sedan,5 ,3.0
Mer Khách 16c đời 2009,Mercedes Benz,sprinter,2009,999.0,Đã sử dụng,Số sàn,Dầu,Nhật Bản,185.000.000 đ,Van/Minivan,6 ,0
Gia đình nhà ông e chuyển đi nước ngoài làm việc,Ford,ranger,2017,900000.0,Đã sử dụng,Số sàn,Dầu,Thái Lan,395.000.000 đ,Bán tải / Pickup,5 ,2.0
Kia K3 Siêu lướt,Kia,k3,2022,20000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,580.000.000 đ,Sedan,5 ,1.6
Ford Tourneo 2.0Titan sx 2021- Lên Đồ Full Limouse,Ford,tourneo,2021,26000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,899.000.000 đ,Van/Minivan,7 ,2.0
swift nhập Nhật hàng siêu hiếm xe cực mới,Suzuki,swift,2013,90000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,295.000.000 đ,Hatchback,5 ,1.2
Toyota Yaris 2018 - Xe Gia Đình - Cam360 - Cửa Hít,Toyota,yaris,2018,35800.0,Đã sử dụng,Tự động,Xăng,,459.000.000 đ,Hatchback,5 ,1.3
Bán Huyndai i30 cực đẹp,Hyundai,i30,2008,110000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,229.000.000 đ,Hatchback,5 ,1.6
Đổi xe gđ cần bán,Mitsubishi,xpander,2019,10000.0,Đã sử dụng,Tự động,Xăng,,505.000.000 đ,SUV,7 ,1.5
mazda CX5 2.5 dẫn động 4x2cuối 2019,Mazda,cx5,2019,70000.0,Đã sử dụng,Tự động,Xăng,,665.000.000 đ,SUV,5 ,2.0
Cần bán Huyndai Genesis 2011 AT gđ dùng,Hyundai,genesis,2011,96000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,386.000.000 đ,Coupe,4 ,2.0
Bán xe LexusLS430 sx 2005 bản Full cao nhất,Lexus,ls,2005,180000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,485.000.000 đ,Sedan,5 ,4.6
MAZDA 6 2015,Mazda,6,2015,80000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,400.000.000 đ,Sedan,5 ,2.0
Xe MG5 MT Số Sàn mới 2023 (Trả trước 50-90TR),MG,5,2023,,Mới,Số sàn,Xăng,Nước khác,399.000.000 đ,Sedan,5 ,1.5
Toyota Wigo 2018 số sàn máy số rin,Toyota,wigo,2018,20000.0,Đã sử dụng,Số sàn,Xăng,Nhật Bản,210.000.000 đ,Hatchback,5 ,1.2
merc c200 sx2015,Mercedes Benz,cclass,2015,130000.0,Đã sử dụng,Tự động,Xăng,Đức,590.000.000 đ,Sedan,5 ,3.0
toyota zace GL,Toyota,zace,2003,150000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,138.000.000 đ,SUV,8 ,1.8
Hyundai Santa Fe 2.0 MLX 2009 Nhập Hàn Quốc,Hyundai,santafe,2009,110000.0,Đã sử dụng,Tự động,Dầu,Hàn Quốc,425.000.000 đ,SUV,7 ,2.2
"Hyundai Accent 2021 1.4 Đặc Biệt,màu vàng cát",Hyundai,accent,2021,22000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,466.000.000 đ,Sedan,5 ,1.4
MG HS 1.5 Sport 2WD 2022 Bảo Hành 12 Tháng,MG,hs,2022,53000.0,Đã sử dụng,Tự động,Xăng,Trung Quốc,530.000.000 đ,Crossover,5 ,1.5
"chính chủ bán Fotuner 2015 dầu , sàn, màu bạc,",Toyota,fortuner,2015,140000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,540.000.000 đ,SUV,7 ,2.4
🚙XPANDER CROSS GIẢM 50% THUẾ +BHVC+CAM 360 ĐỘ🚙,Mitsubishi,xpandercross,2023,,Mới,Tự động,Xăng,Nhật Bản,698.000.000 đ,SUV,7 ,1.5
🔰PAJERO SPORT 2023 🔰GIẢM THUẾ 100%-113 TRIỆU +BHVC,Mitsubishi,pajerosport,2023,,Mới,Tự động,Dầu,Thái Lan,1.130.000.000 đ,SUV,7 ,2.4
xả hàng xe xpander số sàn.hỗ trợ trả góp 80%,Mitsubishi,xpander,2023,,Đã sử dụng,Số sàn,Xăng,Nước khác,555.000.000 đ,SUV,7 ,1.5
𝐇𝐨𝐧𝐝𝐚 𝐂𝐢𝐭𝐲 𝐋 2021-Odo 1vạn9Km-Xe Đẹp-Nhiều Option,Honda,city,2021,19000.0,Đã sử dụng,5,Xăng,Việt Nam,489.000.000 đ,Sedan,5 ,1.5
Cần bán vinfast vf34 đỏ chính chủ 2023,Vinfast,vfe34,2023,8000.0,Đã sử dụng,Tự động,Điện,Việt Nam,530.000.000 đ,,,0
Bán xe Carens 2023 Bản luxury số tự động,Kia,carens,2023,34000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,625.000.000 đ,Crossover,7 ,2.0
Xả kho Stargazer KM 100% thuế trước bạ và tặng PK,Hyundai,stargazer,2022,,Mới,Tự động,Xăng,Hàn Quốc,485.000.000 đ,Van/Minivan,7 ,1.5
prado 2012 nhập trung đông,Toyota,prado,2012,68.0,Đã sử dụng,Tự động,Động cơ Hybrid,Đang cập nhật,830.000.000 đ,SUV,7 ,2.7
chính chủ bán ranger MT,Ford,ranger,2018,12345.0,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,435.000.000 đ,Bán tải / Pickup,5 ,2.0
bán kia morning 2011 số tu dong,Kia,morning,2011,80000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,215.000.000 đ,Hatchback,5 ,1.2
Cần bán xe Isuzu Dmax số sàn 1 cầu sx 2016  xe chí,Isuzu,dmax,2016,123800.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,290.000.000 đ,Bán tải / Pickup,5 ,2.5
civic 2019 1.8G nguyên bản xe rất đẹp,Honda,civic,2019,50000.0,Đã sử dụng,Tự động,Xăng,,550.000.000 đ,Sedan,5 ,1.5
BÁN FORD EVEREST TITANIUM 2 CẦU 2018 ĐI SIÊU LƯỚT,Ford,everest,2018,24000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,913.000.000 đ,SUV,7 ,2.5
🔴Mercedes GLC200 4MT 2023 - Ưu Đãi Đặc Biệt,Mercedes Benz,glcclass,2023,1.0,Đã sử dụng,Tự động,Xăng,Đức,2.299.000.000 đ,,,0
inova 2008 chính chủ,Toyota,innova,2008,138000.0,Đã sử dụng,Số sàn,Xăng,Nhật Bản,239.000.000 đ,Crossover,8 ,2.0
ford ranger XLS số sàn 1 cầu,Ford,ranger,2017,,Đã sử dụng,Số sàn,Dầu,Thái Lan,368.000.000 đ,Bán tải / Pickup,5 ,2.0
Bán Fortuner 2021 5.000km Xe mua về quên ko chạy,Toyota,fortuner,2021,5000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,998.000.000 đ,SUV,7 ,2.4
i10 AT Full 20 dky 21 siêu siêu mới ko lỗi bao tes,Hyundai,grandi10,2020,16000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,345.000.000 đ,Sedan,5 ,1.2
Mitsubishi Outlander Premium sx 2022,Mitsubishi,outlander,2022,30000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,786.000.000 đ,SUV,7 ,2.0
Land cruiser VX 4.6 2015,Toyota,landcruiser,2015,100000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,2.069.000.000 đ,,,0
Toyota Zace 2002 GL MT,Toyota,zace,2002,100.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,120.000.000 đ,SUV,8 ,1.8
ACCENT 2021 ĐẶC BIỆT ĐI LƯỚT CÒN ĐẸP MỘT CHỦ DÙNG,Hyundai,accent,2021,22000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,466.000.000 đ,Sedan,5 ,1.4
Ecosport 1.5L Titanium 2020 Màu Đồng Siêu Đẹp,Ford,ecosport,2020,34000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,468.000.000 đ,SUV,5 ,1.5
Mazda CX5 2.5 siêu chất chạy 5v zin rá 530 bao tên,Mazda,cx5,2016,500000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,530.000.000 đ,SUV,5 ,2.0
Xpander Số Sàn Được Trợ Giá,Mitsubishi,xpander,2023,,Mới,Số sàn,Xăng,Việt Nam,117.000.000 đ,SUV,7 ,1.5
XE Inova Gia Đình Không TaXi,Toyota,innova,2009,100000.0,Đã sử dụng,Số sàn,Xăng,,230.000.000 đ,Crossover,8 ,2.0
Bán Sedona 2020 20.000km hàng hiếm có khó tìm,Kia,sedona,2020,20000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,919.000.000 đ,Van/Minivan,7 ,2.2
Toyota Vios 1.5E 2017 tư nhân chạy rất giữ,Toyota,vios,2017,90000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,310.000.000 đ,Sedan,5 ,1.5
